순위,영화명,관객수 ,상영횟수 ,등급 ,장르 
63,대립군,"837,500","29,085",15세이상관람가,"드라마,사극"
64,뽀로로 극장판 공룡섬 대모험,"827,335","19,948",전체관람가,애니메이션
65,레슬러,"771,141","43,079",15세이상관람가,"드라마,코미디"
67,물괴,"723,622","46,022",15세이상관람가,"액션,사극"
68,미쓰백,"722,182","41,961",15세이상관람가,드라마
69,신비아파트: 금빛 도깨비와 비밀의 동굴,"678,091","16,175",전체관람가,"애니메이션,판타지,어드벤처"
70,아빠는 딸,"647,305","33,263",12세이상관람가,코미디
72,7년의 밤,"528,007","26,804",15세이상관람가,"스릴러,드라마"
73,침묵,"494,097","23,228",15세이상관람가,드라마
74,변산,"490,519","27,504",15세이상관람가,드라마
76,동네사람들,"461,693","23,598",15세이상관람가,"액션,스릴러"
77,원더풀 고스트,"450,374","13,999",12세이상관람가,"코미디,드라마,범죄"
78,반드시 잡는다,"446,780","24,559",15세이상관람가,스릴러
79,점박이 한반도의 공룡2 : 새로운 낙원,"435,886","7,578",전체관람가,애니메이션
80,원라인,"435,142","20,792",15세이상관람가,범죄
81,흥부: 글로 세상을 바꾼 자,"416,303","18,671",12세이상관람가,사극
82,넛잡 2,"411,787","10,449",전체관람가,"애니메이션,어드벤처,코미디,가족"
83,보통사람,"383,336","19,928",15세이상관람가,드라마
84,대장 김창수,"381,483","21,745",12세이상관람가,드라마
85,석조저택 살인사건,"353,517","17,925",15세이상관람가,스릴러
86,싱글라이더,"351,276","16,746",15세이상관람가,드라마
87,7호실,"347,823","21,853",15세이상관람가,코미디
88,허스토리,"336,822","20,406",12세이상관람가,드라마
89,사랑하기 때문에,"324,526","15,214",12세이상관람가,"코미디,멜로/로맨스"
90,희생부활자,"323,628","23,596",15세이상관람가,"미스터리,스릴러"
91,덕구,"315,663","19,006",전체관람가,드라마
92,번 더 스테이지: 더 무비,"315,010","4,714",전체관람가,기타
93,판도라,"271,029","9,513",12세이상관람가,"드라마,스릴러"
95,어느날,"234,829","17,748",15세이상관람가,멜로/로맨스
96,치즈인더트랩,"229,005","14,710",15세이상관람가,"멜로/로맨스,스릴러"
97,1급기밀,"218,795","11,357",12세이상관람가,드라마
98,속닥속닥,"217,444","8,246",15세이상관람가,"공포(호러),미스터리"
99,런닝맨 : 풀룰루의 역습,"186,921","5,524",전체관람가,애니메이션
100,채비,"177,439","9,983",12세이상관람가,드라마
101,비정규직 특수요원,"149,719","11,132",15세이상관람가,"코미디,액션"
102,극장판 또봇: 로봇군단의 습격,"141,865","3,905",전체관람가,애니메이션
104,독전: 익스텐디드 컷,"137,871","5,656",15세이상관람가,"범죄,액션"
105,로마의 휴일,"134,827","10,999",15세이상관람가,"코미디,드라마"
106,시간위의 집,"128,975","10,971",15세이상관람가,"미스터리,스릴러"
107,루시드 드림,"102,170","8,534",15세이상관람가,"SF,스릴러"
108,게이트,"101,381","5,474",15세이상관람가,"범죄,코미디"
109,미니특공대X,"100,164","5,452",전체관람가,애니메이션
110,슈퍼 빼꼼: 스파이 대작전,"99,752","3,352",전체관람가,"애니메이션,코미디"
111,여중생A,"97,849","10,242",12세이상관람가,드라마
113,여곡성,"67,368","4,463",15세이상관람가,"공포(호러),미스터리"
114,뷰티풀 투모로우,"63,279","1,390",12세이상관람가,드라마
115,번개맨과 신비의 섬,"60,561","2,560",전체관람가,"가족,뮤지컬"
116,머니백,"53,610","6,878",15세이상관람가,"액션,드라마"
117,말모이,"53,576",252,12세이상관람가,드라마
118,번개맨의 비밀,"50,863","2,270",전체관람가,"가족,뮤지컬"
119,젝스키스 에이틴,"50,419",774,전체관람가,다큐멘터리
120,데자뷰,"48,279","8,117",15세이상관람가,"미스터리,스릴러"
121,비밥바룰라,"47,563","4,055",12세이상관람가,코미디
122,"그래, 가족","46,623","5,294",12세이상관람가,코미디
123,"당신, 거기 있어줄래요","43,967","2,224",12세이상관람가,"판타지,드라마"
124,극장판 뽀잉: 슈퍼 변신의 비밀,"41,054","2,847",전체관람가,애니메이션
124,배반의 장미,"41,054","6,927",15세이상관람가,코미디
126,레이디버그,"41,043","2,160",전체관람가,"애니메이션,액션,어드벤처"
127,스파키,"35,436","1,949",전체관람가,"애니메이션,어드벤처,코미디"
128,역모-반란의 시대,"30,116","4,100",15세이상관람가,"사극,액션"
129,해피 투게더,"27,046","2,322",12세이상관람가,"드라마,코미디"
130,파워배틀 와치카: 와치가면의 역습,"23,675","1,800",전체관람가,애니메이션
131,터닝메카드W: 반다인의 비밀 특별판,"21,947","1,728",전체관람가,애니메이션
132,트와이스랜드,"18,252",572,전체관람가,다큐멘터리
133,내안의 그놈,"15,171",69,15세이상관람가,"판타지,코미디"
134,이웃집 스타,"10,854","2,367",12세이상관람가,코미디
135,노트르담 드 파리,"9,085",843,전체관람가,"뮤지컬,공연"
136,청춘 합창단 - 또 하나의 꿈,"7,269",344,전체관람가,다큐멘터리
137,클래식,"6,990","1,267",12세이상관람가,드라마
138,돌아와요 부산항애(愛),"6,954",834,15세이상관람가,"범죄,액션,드라마"
139,구세주: 리턴즈,"6,151","1,197",15세이상관람가,코미디
140,해적왕 작스톰,"5,916",441,전체관람가,애니메이션
143,번지점프를 하다,"3,921",993,15세이상관람가,"드라마,판타지"
144,뷰티 인사이드,"3,693",665,12세이상관람가,"판타지,멜로/로맨스"
145,안나 카레니나,"3,523",104,12세이상관람가,뮤지컬
146,미친도시,"3,452",50,15세이상관람가,드라마
147,동주,"3,234",54,12세이상관람가,드라마
148,리벤져,"3,232",369,15세이상관람가,액션
150,광인옥한흠,"2,985",170,전체관람가,다큐멘터리
152,형,"2,661",80,12세이상관람가,"코미디,드라마"
154,파파 오랑후탄,"1,980",95,12세이상관람가,다큐멘터리
155,내 머리 속의 지우개,"1,960",630,12세이상관람가,멜로/로맨스
157,라라,"1,860",202,15세이상관람가,"멜로/로맨스,드라마"
159,복수는 나의 것,"1,726",112,18세이상관람가,"범죄,스릴러"
160,친절한 금자씨,"1,678",118,18세이상관람가,스릴러
161,살인의 추억,"1,674",236,15세이상관람가,스릴러
163,게이트-완결판,"1,408",37,15세이상관람가,"범죄,코미디"
164,부산행,"1,395",42,15세이상관람가,"액션,스릴러"
168,건축학개론,"1,213",406,12세이상관람가,"멜로/로맨스,드라마"
169,기억을 만나다,"1,205",29,12세이상관람가,멜로/로맨스
170,그대 이름은 장미,"1,184",5,12세이상관람가,코미디
171,특별수사: 사형수의 편지,"1,166",17,15세이상관람가,"범죄,드라마"
176,렌의 애가,"1,004",30,15세이상관람가,드라마
185,흑권,938,29,12세이상관람가,액션
190,인천상륙작전,832,13,12세이상관람가,"전쟁,드라마"
191,남자가 사랑할 때,809,299,15세이상관람가,"멜로/로맨스,드라마"
193,덕혜옹주,766,13,12세이상관람가,"사극,드라마"
194,로맨스그레이,747,22,12세이상관람가,"드라마,멜로/로맨스"
196,국제시장,724,13,12세이상관람가,드라마
201,추하 내사랑,678,15,전체관람가,"드라마,멜로/로맨스"
208,물레방아,624,12,12세이상관람가,멜로/로맨스
210,빅뱅 메이드,618,5,12세이상관람가,다큐멘터리
213,시월애,599,122,12세이상관람가,"멜로/로맨스,판타지"
219,점박이:한반도의 공룡3D,518,17,전체관람가,"애니메이션,어드벤처,액션"
221,공동경비구역 JSA,504,19,15세이상관람가,"드라마,미스터리"
224,가려진 시간,491,13,12세이상관람가,"드라마,판타지"
