순위,영화명,관객수 ,상영횟수 ,등급 ,장르 
285,상류시대,170,21,청소년관람불가,"멜로/로맨스,드라마"
285,천박한 누나,170,20,청소년관람불가,"드라마,멜로/로맨스"
289,가정부 길들이기,169,20,청소년관람불가,멜로/로맨스
289,내방에 일본여자가 있다,169,20,청소년관람불가,멜로/로맨스
289,스튜디오,169,20,청소년관람불가,코미디
289,어린 처제 3,169,20,청소년관람불가,멜로/로맨스
289,우리 도련님,169,20,청소년관람불가,멜로/로맨스
289,은밀한 여작가의 사생활,169,20,청소년관람불가,"멜로/로맨스,드라마"
289,음란한 병원,169,20,청소년관람불가,"드라마,멜로/로맨스"
296,왕의 남자,166,2,15세이상관람가,드라마
296,화끈한 룸메이트,166,20,청소년관람불가,"멜로/로맨스,코미디"
298,타짜의 목적 무삭제,163,20,청소년관람불가,
299,"처제는, 처제와, 처제의...",162,20,청소년관람불가,"멜로/로맨스,드라마"
300,보도드라이버: 떡마차,161,20,청소년관람불가,성인물(에로)
300,비트,161,3,연소자관람불가,"액션,멜로/로맨스,범죄"
300,알래스카 북극곰,161,20,청소년관람불가,"멜로/로맨스,드라마,코미디"
303,DIMA 방송보도제작과 영상제 ‘책갈피’ 1부 - Prologue,160,1,,기타
303,DIMA 방송보도제작과 영상제 ‘책갈피’ 2부 - Epilogue,160,1,,기타
303,SPFF 2018 국내단편 3,160,2,,드라마
306,성인용품 사용설명서,159,20,청소년관람불가,멜로/로맨스
306,착한 이모의 은밀한 아르바이트,159,20,청소년관람불가,멜로/로맨스
308,더 테러 라이브,156,1,15세이상관람가,"범죄,기타"
308,베를린,156,1,15세이상관람가,액션
310,SIFF2018-심야상영 밤새 GO,153,1,,기타
310,kqff 2018 국내단편2: 중력을 벗어나,153,2,,드라마
312,MSFF2018 전년도수상작 2,150,2,,드라마
312,"광해, 왕이 된 남자",150,4,15세이상관람가,"사극,드라마"
312,레터스,150,2,,다큐멘터리
315,kqff 2018 국내단편1: 히든 캐릭터,148,2,,드라마
316,독립협회와 청년 이승만,147,7,,드라마
317,4월 단편 상상극장-숲으로 가자,145,5,,기타
318,12 하고 24,144,7,,다큐멘터리
319,SIFF2018-선택단편 2,142,3,,기타
319,유부녀들의 맛,142,21,청소년관람불가,멜로/로맨스
321,밀애 : 친구의 아내,141,22,청소년관람불가,멜로/로맨스
322,친구엄마들,140,21,청소년관람불가,멜로/로맨스
323,금지된 섹스,139,20,청소년관람불가,멜로/로맨스
323,어린 여배우 무삭제판,139,21,청소년관람불가,멜로/로맨스
325,선녀는 몸으로 운다-감독판,138,20,청소년관람불가,멜로/로맨스
325,섹스-이웃집 여자-감독판,138,20,청소년관람불가,멜로/로맨스
325,인공지능 섹스돌,138,20,청소년관람불가,멜로/로맨스
325,젊은 누나-감독판,138,20,청소년관람불가,멜로/로맨스
325,폰 섹스의 덫-감독판,138,20,청소년관람불가,멜로/로맨스
330,"MSFF2018 시그니처: 하나의 이야기, 다른 영화 1",135,2,,드라마
330,도둑들,135,1,15세이상관람가,"액션,범죄"
332,SIFF2018-선택단편 1,132,3,,드라마
333,HYUKOH_NA_TOUR1.PRPROJ,131,6,,다큐멘터리
334,SESIFF2018 E-CUT 감독을 위하여,130,2,,기타
334,SESIFF2018 Extreme-Shorts with 윤성호,130,2,,기타
334,정사 : 착한 며느리들 2,130,22,청소년관람불가,멜로/로맨스
337,SIDOF2019_추방자들/편안한 밤/환영의 도시/거대 생명체들의 도시,129,2,,다큐멘터리
337,애인 : 아내의 남자,129,20,청소년관람불가,멜로/로맨스
337,정사 : 캠퍼스 커플,129,20,청소년관람불가,멜로/로맨스
340,달빛궁궐,128,6,전체관람가,"애니메이션,판타지,어드벤처"
340,밀애 : 부부카풀,128,20,청소년관람불가,멜로/로맨스
340,아내의 애인 2,128,20,청소년관람불가,멜로/로맨스
340,착한 형수 3,128,20,청소년관람불가,멜로/로맨스
340,하숙집 여자들,128,20,청소년관람불가,멜로/로맨스
340,한국 다큐 : 영화과를 졸업한 언니들과 나 + 수퍼 디스코,128,1,,다큐멘터리
346,2018 세종영화제 커튼콜섹션+시상식,127,1,,기타
347,제20회 대전독립영화제 연대와 유대의 초대 1,126,2,,드라마
347,제20회 대전독립영화제 연대와 유대의 초대 2,126,2,,기타
349,아수라,125,14,청소년관람불가,"범죄,액션"
350,PDFF2018 PDFF경선2,123,1,,기타
350,PDFF2018 PDFF경선3,123,1,,기타
350,PDFF2018 PDFF경선4,123,1,,기타
350,PDFF2018 국내초청2,123,1,,기타
350,PDFF2018 장애인미디어운동1,123,1,,기타
350,PDFF2018 장애인미디어운동2,123,1,,기타
350,SPFF 2018 국내단편 2,123,2,,드라마
350,제12회 대단한 단편영화제 배우 특별전,123,3,,기타
350,초승달의 집,123,1,,다큐멘터리
359,신세계,122,3,청소년관람불가,"범죄,액션"
359,옆집누나들,122,20,청소년관람불가,멜로/로맨스
359,"오, 사랑",122,2,,다큐멘터리
359,자매의교환섹스,122,20,청소년관람불가,멜로/로맨스
363,가슴큰누나들,121,20,청소년관람불가,멜로/로맨스
364,가을이야기,120,1,,"가족,드라마"
364,미투 숨겨진 진실,120,20,청소년관람불가,기타
366,SIDOF2019_밤낮/463 Poem of the lost/우리 아버지께,119,2,,다큐멘터리
366,"SIDOF2019_부당, 쓰러지지 않는/보이지 않는 아이들/례",119,2,,다큐멘터리
366,맛있는 세자매,119,20,청소년관람불가,멜로/로맨스
366,보이지 않는 배우들,119,3,전체관람가,"다큐멘터리,드라마"
366,아가씨,119,3,청소년관람불가,"스릴러,드라마"
366,여대생들의은밀한아르바이트,119,20,청소년관람불가,멜로/로맨스
366,옆집소녀2,119,20,청소년관람불가,멜로/로맨스
366,착한 여동생,119,20,청소년관람불가,멜로/로맨스
374,와룡선생 상경기,118,8,,코미디
375,14th 필름다빈 프로젝트 : 류아벨 배우전,117,1,,드라마
375,SPFF 2018 국내단편 1,117,2,,기타
375,극장판 안녕 자두야,117,1,전체관람가,애니메이션
375,동갑내기 엄마,117,20,청소년관람불가,멜로/로맨스
379,[인디포럼2018] 신작전 03 내 갈 길을 가마,116,2,,기타
379,[인디포럼2018] 신작전 10 우리들의 21세기,116,2,,기타
379,장모의유혹,116,20,청소년관람불가,멜로/로맨스
382,정사 : 착한 숙모,115,20,청소년관람불가,멜로/로맨스
383,자매의은밀한스와핑-무삭제,113,20,청소년관람불가,멜로/로맨스
384,제20회 대전독립영화제 본선경쟁 섹션 1,112,2,,드라마
384,제20회 대전독립영화제 본선경쟁 섹션 2,112,2,,기타
384,제20회 대전독립영화제 본선경쟁 섹션 3,112,2,,드라마
384,제20회 대전독립영화제 본선경쟁 섹션 4,112,2,,기타
384,제20회 대전독립영화제 본선경쟁 섹션 5,112,2,,기타
384,제20회 대전독립영화제 본선경쟁 섹션 7,112,2,,드라마
384,"제20회 대전독립영화제 한국독립영화, 현재 진행형 1",112,2,,드라마
391,SIDOF2019_친밀한 가족/꽃피는 편지/우리보고 죽우란 말이냐,110,2,,다큐멘터리
391,강철비,110,2,15세이상관람가,"액션,드라마"
391,동생의 여자-무삭제,110,20,청소년관람불가,멜로/로맨스
391,맛있는 누나들,110,20,청소년관람불가,멜로/로맨스
391,아빠친구2,110,20,청소년관람불가,멜로/로맨스
391,엄마학개론,110,20,청소년관람불가,멜로/로맨스
391,후배부부와 교환섹스-무삭제,110,20,청소년관람불가,멜로/로맨스
398,그 여자의 죄가 아니다,109,6,,드라마
398,봉이 김선달,109,9,12세이상관람가,사극
400,SIFF2018-특별단편 2,108,2,,기타
400,장한몽,108,6,,
402,지옥화,106,8,미정,"멜로/로맨스,드라마,범죄"
402,카트,106,5,12세이상관람가,드라마
404,옵티그래프,105,2,,다큐멘터리
405,인디애니페스트 2018 독립보행 3,104,2,,애니메이션
406,엄마친구들 2,102,20,청소년관람불가,멜로/로맨스
407,인디애니페스트 2018 독립보행 1,101,2,,애니메이션
408,뷰티 인사이드,100,1,12세이상관람가,"판타지,멜로/로맨스"
408,설날,100,1,,드라마
410,SIFF2018-특별단편 1,98,2,,기타
411,경치 좋은 자리,97,3,,드라마
412,[인디포럼2018] 신작전 05 변하는 사랑,96,2,,기타
412,산나리,96,4,,다큐멘터리
414,오렌지필름 기획전 - do not reply,95,5,,기타
415,2018 중앙영화제 새벽,94,1,,기타
415,AISFF 2018 인디스토리 특별전 그룹3,94,1,,기타
415,원라인,94,4,15세이상관람가,범죄
418,판도라,93,1,12세이상관람가,"드라마,스릴러"
419,룸싸롱 맛있는 서비스,91,20,청소년관람불가,멜로/로맨스
419,착한 자매들,91,20,청소년관람불가,멜로/로맨스
421,침묵의 숲,90,1,,다큐멘터리
421,형,90,7,12세이상관람가,"코미디,드라마"
423,마지막 첫사랑_썸머프라이드시네마,88,2,,기타
423,아파트 생태계,88,5,,다큐멘터리
423,한국인을 관두는 법,88,3,,다큐멘터리
426,산딸기 4,84,3,연소자관람불가,"사극,성인물(에로)"
426,여친 언니,84,20,청소년관람불가,멜로/로맨스
428,노래방 : 화끈한 여자들,81,20,청소년관람불가,멜로/로맨스
