,성별,석차,계열석차백분율,1학년 1학기,1학년 2학기,1학년 전학기,2학년 1학기,2학년 2학기,2학년 전학기,전학년
824,남,4,1.2,1.16,1.32,1.24,1.7,1.74,1.72,1.47
135,여,287,86.19,7.16,7.04,7.1,7.43,6.61,7.02,7.06
1123,남,289,86.79,7.72,6.8,7.26,7,6.74,6.87,7.07
712,여,290,87.09,8,7.72,7.86,6.39,6.26,6.33,7.13
23,남,291,87.39,7.32,6.88,7.1,0,7.35,7.35,7.18
1317,여,292,87.69,6.44,7.64,7.04,7.35,7.61,7.48,7.25
221,남,293,87.99,7.48,7.04,7.26,7.26,0,7.26,7.26
317,여,293,87.99,7.52,7.32,7.42,6.91,0,6.91,7.26
121,남,295,88.59,7.64,7.28,7.46,7.26,7.09,7.17,7.32
127,여,295,88.59,5,7.58,7.21,7.19,7.61,7.38,7.32
139,남,297,89.19,7.04,7.32,7.18,7.7,0,7.7,7.34
521,여,298,89.49,7.36,7.88,7.62,7.35,6.83,7.09,7.36
514,남,299,89.79,7.68,7.48,7.58,7.04,7.26,7.15,7.38
1316,여,299,89.79,7.72,7.24,7.48,7.26,7.26,7.26,7.38
825,남,138,41.44,4.6,4.72,4.66,4.43,4.74,4.59,4.63
1013,남,302,90.69,6.04,8.32,7.18,7.35,7.91,7.63,7.4
42,남,303,90.99,7.68,7.4,7.54,7.17,7.48,7.33,7.44
75,남,304,91.29,7.44,7.16,7.3,7.78,7.43,7.61,7.45
924,남,304,91.29,7.44,7.56,7.5,7.35,0,7.35,7.45
137,남,306,91.89,7.32,7.88,7.6,7.04,7.57,7.3,7.46
51,남,307,92.19,7.28,7.24,7.26,7.91,0,7.91,7.47
314,여,308,92.49,7.84,7.16,7.5,7.7,7.39,7.54,7.52
138,남,308,92.49,5.6,7.96,7.08,7.96,7.87,7.91,7.52
826,남,223,66.97,6.04,5.28,5.66,5.87,5.83,5.85,5.75
519,남,311,93.39,7.4,8.04,7.72,7.57,0,7.57,7.67
1111,남,312,93.69,7.88,7.84,7.86,7.52,7.48,7.5,7.69
58,남,313,93.99,7.68,7.72,7.7,7.7,0,7.7,7.7
622,남,313,93.99,7.44,7.76,7.6,0,7.91,7.91,7.7
38,남,315,94.59,8.44,8.32,8.38,6.87,7.26,7.07,7.75
